Dong_name,code_dong,return_day,rent_day,rental_stop,large_store,company,hospital,restaurant,park,cafe,house,bank,car,school,bus_stop,bus_geton_people,bus_getoff_people,subway_station,subway_geton_people,subway_getoff_people,M_child,M_teenager,M_20,M_30,M_40,M_50,M_60,M_over70,W_child,W_teenager,W_20,W_30,W_40,W_50,W_60,W_over70,M_sum,W_sum
역촌동,11380625,27.39,28.39,6,12.0,2534.0,45.0,687.0,0.0,54.0,14882.0,4.0,86996.0,1.0,48,250.750625,194.17166666666665,0.0,0.0,0.0,45738.44,43956.28,61713.59,70763.87,80810.71,67196.7,47388.34,45912.55,42203.76,49886.08,71320.7,85186.95,88087.31,88249.83,67862.65,88601.42,463480.48,581398.7
연남동,11440710,89.58,86.48,2,2.0,1915.0,12.0,1126.0,0.0,161.0,5648.0,1.0,31154.0,3.0,21,154.00761904761907,160.20666666666665,0.0,0.0,0.0,9427.45,12343.05,46767.93,49853.58,39783.09,23081.69,15586.47,14958.66,8283.5,14918.45,65401.16,52019.61,38627.04,27044.66,21075.31,26655.81,211801.92,254025.54
연희동,11410615,37.23,37.71,10,1.0,2352.0,38.0,834.0,2.0,109.0,11675.0,7.0,73646.0,4.0,52,481.60365384615386,499.4051923076923,0.0,0.0,0.0,18381.06,30370.99,91396.46,74988.65,69635.06,56563.18,36527.24,33847.72,22660.95,34806.6,112285.2,80996.67,69216.11,66014.25,46174.9,58694.01,411710.36,490848.68999999994
염창동,11500510,62.84,61.65,8,4.0,2170.0,41.0,517.0,1.0,50.0,13248.0,3.0,106367.0,5.0,30,386.857,323.10100000000006,0.0,0.0,0.0,37033.08,37797.56,41920.86,73945.06,74106.08,48795.18,35098.92,22319.36,31281.14,37919.63,52607.21,83931.51,72111.61,51021.72,40985.73,35446.9,371016.1,405305.45
영등포동,11560535,71.0,69.26,13,5.0,5883.0,154.0,1942.0,1.0,94.0,7586.0,16.0,64471.0,1.0,37,693.7964864864866,701.1459459459461,2.0,5277.63,5477.905,27181.97,25073.81,111294.59,149795.7,107942.04,88440.24,56396.68,36481.77,34179.72,28906.23,145970.48,139317.83,88939.17,71567.75,55568.2,48848.86,602606.8,613298.24
영등포본동,11560515,66.61,63.97,7,1.0,1410.0,27.0,270.0,1.0,28.0,6404.0,0.0,43202.0,4.0,18,456.3405555555555,388.23333333333335,1.0,30529.9,31163.97,15397.48,13491.06,33282.97,41580.48,35880.57,35153.11,24827.91,20121.65,11102.41,12151.85,38014.41,39794.28,31934.99,37844.62,27561.76,29649.4,219735.23,228053.72000000003
오금동,11710570,33.19,33.9,13,0.0,2397.0,30.0,669.0,1.0,62.0,12963.0,5.0,96154.0,9.0,29,306.5462068965518,292.8544827586207,1.0,4765.87,4331.32,44079.56,53563.64,52390.92,60812.16,65483.22,65745.75,50811.09,35620.48,32966.4,43019.22,54181.66,67699.27,74125.24,84519.94,68003.23,59256.47,428506.82,483771.43
오류1동,11530770,64.58,63.9,1,4.0,1187.0,34.0,369.0,1.0,17.0,6927.0,4.0,47831.0,1.0,14,498.8228571428572,464.51071428571424,0.0,0.0,0.0,12086.24,13472.06,26966.24,34231.05,27388.22,25111.16,19919.64,18228.73,10714.88,12099.09,32011.0,30659.0,25594.34,27761.65,22866.15,29069.44,177403.34000000003,190775.55
오류2동,11530780,25.06,26.45,14,1.0,1729.0,36.0,356.0,0.0,29.0,13985.0,1.0,97406.0,7.0,59,104.7128813559322,102.65491525423732,2.0,9253.855,8765.065,69255.38,55278.09,59143.33,97028.56,102337.71,75551.86,54480.55,55847.19,77200.26,61696.89,71640.85,107504.71,101429.63,85690.41,74572.6,88357.12,568922.6699999999,668092.47
오륜동,11710566,50.65,50.55,14,1.0,496.0,13.0,40.0,1.0,18.0,5543.0,5.0,47090.0,8.0,22,206.5368181818182,258.9581818181818,3.0,1141.6133333333337,987.5266666666666,12826.56,30506.36,22605.42,22598.88,33235.83,30352.11,23362.01,20600.03,10276.51,23165.54,24952.66,28665.73,36494.29,37903.26,32588.53,31550.69,196087.2,225597.21000000002
